縣市,門市,抽選時間,型號,商品,抽獎連結,官方帳號,加好友連結,已抽
台中市,Funbox 廣三SOGO店,2026/09/11 11:00~2026/09/12 21:00,CX-18,CX-18 腕龍鞭打 隨機強化組（$350／限購2組）,https://lin.ee/5IAT8EZ,@526bsjmb,https://line.me/ti/p/~@526bsjmb,
台中市,Funbox 廣三SOGO店,2026/09/11 11:00~2026/09/12 21:00,BXG-01,BXG-01 烈焰飛鳳S（$350）,https://lin.ee/x8AeEnS,@526bsjmb,https://line.me/ti/p/~@526bsjmb,
台中市,Funbox 廣三SOGO店,2026/09/11 11:00~2026/09/12 21:00,BXG-04,BXG-04 銀牙烈虎S（$350）,https://lin.ee/8lrmbQT,@526bsjmb,https://line.me/ti/p/~@526bsjmb,
台中市,Funbox麗寶一期店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/nFb30Ey,@829adhop,https://line.me/ti/p/~@829adhop,
台中市,Funbox麗寶一期店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍（$350）,https://lin.ee/UVyu6GN,@829adhop,https://line.me/ti/p/~@829adhop,
台中市,Funbox麗寶一期店,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/rnE5Hl5,@829adhop,https://line.me/ti/p/~@829adhop,
台中市,Funbox 台中中友店,2026/09/11 10:30~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/WFVW7YW,@815dstuy,https://line.me/ti/p/~@815dstuy,
台中市,Funbox 台中中友店,2026/09/11 10:30~2026/09/12 21:00,BX-26,BX-26 獨角刺心（$295）,https://lin.ee/rtkxzaY,@815dstuy,https://line.me/ti/p/~@815dstuy,
台中市,Funbox 台中中友店,2026/09/11 10:30~2026/09/12 21:00,BX-37,"BX-37 雙重極限衝擊戰鬥盤 豪華組（$2,750）",https://lin.ee/RT0Qmjj,@815dstuy,https://line.me/ti/p/~@815dstuy,
台中市,Funbox 台中中友店,2026/09/11 10:30~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/NTdr548,@815dstuy,https://line.me/ti/p/~@815dstuy,
台中市,Funbox 台中中友店,2026/09/11 10:30~2026/09/12 21:00,BXG-01,BXG-01 烈焰飛鳳S（$350）,https://lin.ee/rWohN0Y,@815dstuy,https://line.me/ti/p/~@815dstuy,
彰化縣,來玩聚－員林店,2026/09/11 10:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/qt2mNAf,,,
彰化縣,來玩聚－員林店,2026/09/11 10:00~2026/09/12 21:00,UX-21,UX-21 惡魔翼界改造組（$895）,https://lin.ee/WnOwOyV,,,
彰化縣,來玩聚－員林店,2026/09/11 10:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/YA2pGeD,,,
彰化縣,來玩聚－員林店,2026/09/11 10:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/WgFn0sO,,,
彰化縣,來玩聚-彰化店,2026/09/11 10:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/ptsOv5k,@766sgllj,https://line.me/ti/p/~@766sgllj,
彰化縣,來玩聚-彰化店,2026/09/11 10:00~2026/09/12 21:00,BX-33,BX-33 皓戰猛虎（$295）,https://lin.ee/9hfYqY0,@766sgllj,https://line.me/ti/p/~@766sgllj,
彰化縣,來玩聚-彰化店,2026/09/11 10:00~2026/09/12 21:00,UX-02,UX-02 惡魔戰錘（$395）,https://lin.ee/6jqBx8o,@766sgllj,https://line.me/ti/p/~@766sgllj,
彰化縣,來玩聚-彰化店,2026/09/11 10:00~2026/09/12 21:00,UX-20,UX-20 榮耀武神LF（$595）,https://lin.ee/5S5iDzB,@766sgllj,https://line.me/ti/p/~@766sgllj,
彰化縣,來玩聚-彰化店,2026/09/11 10:00~2026/09/12 21:00,UX-21,UX-21 惡魔冥界改造組（$895）,https://lin.ee/X7IyEQJ,@766sgllj,https://line.me/ti/p/~@766sgllj,
彰化縣,來玩聚-彰化店,2026/09/11 10:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/RjyQdUc,@766sgllj,https://line.me/ti/p/~@766sgllj,
彰化縣,來玩聚-彰化店,2026/09/11 10:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/tkA8Cms,@766sgllj,https://line.me/ti/p/~@766sgllj,
彰化縣,來玩聚-彰化店,2026/09/11 10:00~2026/09/12 21:00,BXG-01,BXG-01 烈焰飛鳳S（$350）,https://lin.ee/Span7zb,@766sgllj,https://line.me/ti/p/~@766sgllj,
彰化縣,來玩聚-彰化店,2026/09/11 10:00~2026/09/12 21:00,BXG-04,BXG-04 銀牙烈虎S（$350）,https://lin.ee/QoPxlVQ,@766sgllj,https://line.me/ti/p/~@766sgllj,
雲林縣,來玩聚斗六店,2026/09/11 10:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/YxTVT2G,@rsp8657s,https://line.me/ti/p/~@rsp8657s,
雲林縣,來玩聚斗六店,2026/09/11 10:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/QXcuze1,@rsp8657s,https://line.me/ti/p/~@rsp8657s,
雲林縣,來玩聚斗六店,2026/09/11 10:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/qucHkZ1,@rsp8657s,https://line.me/ti/p/~@rsp8657s,
嘉義市,Funbox Toys-嘉義遠東店,2026/09/11 11:00~2026/09/12 20:30,BX-00,BX-00 蒼龍神劍（$350）,https://lin.ee/Qls6R6V,@gno1826d,https://line.me/ti/p/~@gno1826d,
嘉義市,Funbox Toys-嘉義遠東店,2026/09/11 11:00~2026/09/12 20:30,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/WeYu7JB,@gno1826d,https://line.me/ti/p/~@gno1826d,
嘉義市,Funbox Toys-嘉義遠東店,2026/09/11 11:00~2026/09/12 20:30,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/pVfZbJ6,@gno1826d,https://line.me/ti/p/~@gno1826d,
嘉義市,Funbox 嘉義三越店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/Olyo4pX,@zhj4962p,https://line.me/ti/p/~@zhj4962p,
嘉義市,Funbox 嘉義三越店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/N4zI9Ue,@zhj4962p,https://line.me/ti/p/~@zhj4962p,
台南市,Funbox Toys-台南南紡店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/sOES69Y,@msq0107x,https://line.me/ti/p/~@msq0107x,
台南市,Funbox Toys-台南南紡店,2026/09/11 11:00~2026/09/12 21:00,BX-26,BX-26 獨角刺心（$295）,https://lin.ee/R8qN6Pe,@msq0107x,https://line.me/ti/p/~@msq0107x,
台南市,Funbox Toys-台南南紡店,2026/09/11 11:00~2026/09/12 21:00,BX-33,BX-33 皓戰猛虎（$295）,https://lin.ee/xBUpv9v,@msq0107x,https://line.me/ti/p/~@msq0107x,
台南市,Funbox Toys-台南南紡店,2026/09/11 11:00~2026/09/12 21:00,BX-37,"BX-37 雙重極限衝擊戰鬥盤 豪華組（$2,750）",https://lin.ee/u3wwmAC,@msq0107x,https://line.me/ti/p/~@msq0107x,
台南市,Funbox Toys-台南南紡店,2026/09/11 11:00~2026/09/12 21:00,BX-45,BX-45 武士魂斬（$325）,https://lin.ee/5DYWzKP,@msq0107x,https://line.me/ti/p/~@msq0107x,
台南市,Funbox Toys-台南南紡店,2026/09/11 11:00~2026/09/12 21:00,UX-02,UX-02 惡魔戰錘（$395）,https://lin.ee/uqPGQfF,@msq0107x,https://line.me/ti/p/~@msq0107x,
台南市,Funbox Toys-台南南紡店,2026/09/11 11:00~2026/09/12 21:00,UX-19,UX-19 子彈獅鷲H（$550）,https://lin.ee/874mNB8,@msq0107x,https://line.me/ti/p/~@msq0107x,
台南市,Funbox Toys-台南南紡店,2026/09/11 11:00~2026/09/12 21:00,UX-20,UX-20 榮耀武神LF（$595）,https://lin.ee/xsKMnPI,@msq0107x,https://line.me/ti/p/~@msq0107x,
台南市,Funbox Toys-台南南紡店,2026/09/11 11:00~2026/09/12 21:00,UX-21,UX-21 惡魔冥界改造組（$895）,https://lin.ee/YEjbfuf,@msq0107x,https://line.me/ti/p/~@msq0107x,
台南市,Funbox Toys-台南南紡店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/y2Z1zC9,@msq0107x,https://line.me/ti/p/~@msq0107x,
台南市,Funbox Toys-台南南紡店,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/nIFAjIM,@msq0107x,https://line.me/ti/p/~@msq0107x,
台南市,Funbox Toys-台南南紡店,2026/09/11 11:00~2026/09/12 21:00,BXG-01,BXG-01 烈焰飛鳳S（$350）,https://lin.ee/nm8hxAb,@msq0107x,https://line.me/ti/p/~@msq0107x,
台南市,Funbox Toys-台南南紡店,2026/09/11 11:00~2026/09/12 21:00,BXG-04,BXG-04 銀牙烈虎S（$350）,https://lin.ee/83Kw1XX,@msq0107x,https://line.me/ti/p/~@msq0107x,
台南市,Funbox 台南三井店,2026/09/11 11:00~2026/09/12 20:30,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/PX6pbXI,@212isujx,https://line.me/ti/p/~@212isujx,
台南市,FUNBOX 台南遠百,2026/09/11 11:00 起,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/Wu5v4s6,@373rxyat,https://line.me/ti/p/~@373rxyat,
台南市,funbox－台南新天地,2026/09/11 11:00 起,BX-00,BX-00 暴風天馬（$595）,https://lin.ee/5qNDcSm,,,
台南市,funbox－台南新天地,2026/09/11 11:00 起,BX-00,BX-00 蒼龍神劍 V2（$350）,https://lin.ee/woB8P70,,,
台南市,funbox－台南新天地,2026/09/11 11:00 起,BX-37,"BX-37 雙重極限衝擊對戰盤 豪華組（$2,750）",https://lin.ee/Tr0WPEo,,,
台南市,funbox－台南新天地,2026/09/11 11:00 起,UX-02,UX-02 惡魔戰錘（$395）,https://lin.ee/PvtI2o9,,,
台南市,funbox－台南新天地,2026/09/11 11:00 起,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/qaOyNTU,,,
台南市,funbox－台南新天地,2026/09/11 11:00 起,CX-12,CX-12 鳳凰閃焰（$350）,https://lin.ee/PlUKQ05,,,
台南市,funbox－台南新天地,2026/09/11 11:00 起,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/TyeYaDm,,,
台南市,funbox－台南新天地,2026/09/11 11:00 起,BXG-01,BXG-01 烈焰飛鳳S（$350）,https://lin.ee/Ot7kqeL,,,
台南市,funbox－台南新天地,2026/09/11 11:00 起,BXG-04,BXG-04 銀牙烈虎S（$350）,https://lin.ee/9FSOqCd,,,
高雄市,Funbox 高雄大立店,2026/09/11 11:00~2026/09/12 20:30,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/zMvVOQx,@917hatdy,https://line.me/ti/p/~@917hatdy,
高雄市,Funbox 高雄大立店,2026/09/11 11:00~2026/09/12 20:30,UX-02,UX-02 惡魔戰錘（$395）,https://lin.ee/7GO4j7c,@917hatdy,https://line.me/ti/p/~@917hatdy,
高雄市,Funbox 高雄大立店,2026/09/11 11:00~2026/09/12 20:30,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/wRBZy0v,@917hatdy,https://line.me/ti/p/~@917hatdy,
高雄市,Funbox 高雄大立店,2026/09/11 11:00~2026/09/12 20:30,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/YaqfU9G,@917hatdy,https://line.me/ti/p/~@917hatdy,
高雄市,funbox大魯閣新光,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/XURwiUg,@fko7562c,https://line.me/ti/p/~@fko7562c,
高雄市,Funbox -夢時代店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/O1cMbf4,@ott3541o,https://line.me/ti/p/~@ott3541o,
高雄市,來玩聚-新楠店,2026/09/11 10:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍V2（$350）,https://lin.ee/oWeYBs8,@022itqlw,https://line.me/ti/p/~@022itqlw,
高雄市,來玩聚-新楠店,2026/09/11 10:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395／商品微盒損）",https://lin.ee/SSZ0tUy,@022itqlw,https://line.me/ti/p/~@022itqlw,
高雄市,Funbox高雄sogo店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/T5CrB1d,@845nallq,https://line.me/ti/p/~@845nallq,
高雄市,Funbox-漢神巨蛋店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/y12Oomf,@ldh6278d,https://line.me/ti/p/~@ldh6278d,
高雄市,Funbox-漢神巨蛋店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/nXdw5Sx,@ldh6278d,https://line.me/ti/p/~@ldh6278d,
高雄市,Funbox-高雄漢神店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/5Hmgk7n,@897upgfr,https://line.me/ti/p/~@897upgfr,
屏東縣,funbox屏東太平洋,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/VYNow4o,@ess7711t,https://line.me/ti/p/~@ess7711t,
屏東縣,funbox屏東太平洋,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/8F28eaV,@ess7711t,https://line.me/ti/p/~@ess7711t,
屏東縣,Funbox 屏東環球店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/rMFSI42,@xhi2668e,https://line.me/ti/p/~@xhi2668e,
屏東縣,Funbox 屏東環球店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/7iP00az,@xhi2668e,https://line.me/ti/p/~@xhi2668e,
屏東縣,Funbox 屏東環球店,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/8Pp9KkQ,@xhi2668e,https://line.me/ti/p/~@xhi2668e,
宜蘭縣,Funbox 宜蘭新月店,2026/09/11 11:00 起,BX-00,BX-00 暴風天馬3-70RA（$595）,https://lin.ee/wlr7HAE,@027iendl,https://line.me/ti/p/~@027iendl,
宜蘭縣,Funbox 宜蘭新月店,2026/09/11 11:00 起,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/8l5ZgOi,@027iendl,https://line.me/ti/p/~@027iendl,
宜蘭縣,Funbox 宜蘭新月店,2026/09/11 11:00 起,BX-26,BX-26 獨角刺心（$295）,https://lin.ee/9POeXce,@027iendl,https://line.me/ti/p/~@027iendl,
宜蘭縣,Funbox 宜蘭新月店,2026/09/11 11:00 起,BX-33,BX-33 皓戰猛虎（$295）,https://lin.ee/RxSpLhl,@027iendl,https://line.me/ti/p/~@027iendl,
宜蘭縣,Funbox 宜蘭新月店,2026/09/11 11:00 起,BX-50,BX-50 天堂日輪 隨機強化組（$350）,https://lin.ee/yp0yDSz,@027iendl,https://line.me/ti/p/~@027iendl,
宜蘭縣,Funbox 宜蘭新月店,2026/09/11 11:00 起,UX-19,UX-19 子彈獅鷲H（$550）,https://lin.ee/9EuCF5n,@027iendl,https://line.me/ti/p/~@027iendl,
宜蘭縣,Funbox 宜蘭新月店,2026/09/11 11:00 起,UX-20,UX-20 榮耀武神LF（$595）,https://lin.ee/SG6VTOM,@027iendl,https://line.me/ti/p/~@027iendl,
宜蘭縣,Funbox 宜蘭新月店,2026/09/11 11:00 起,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/plxRmQO,@027iendl,https://line.me/ti/p/~@027iendl,
宜蘭縣,Funbox 宜蘭新月店,2026/09/11 11:00 起,BXG-01,BXG-01 烈焰飛鳳S（$350）,https://lin.ee/ZpmUeY2,@027iendl,https://line.me/ti/p/~@027iendl,
宜蘭縣,Funbox 宜蘭新月店,2026/09/11 11:00 起,BXG-04,BXG-04 銀牙烈虎S（$350）,https://lin.ee/xg2AtHJ,@027iendl,https://line.me/ti/p/~@027iendl,
台東縣,Funbox 台東秀泰店,2026/09/11 11:00 起,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/sfVUr8n,@438glrqv,https://line.me/R/ti/p/@438glrqv,
台東縣,Funbox 台東秀泰店,2026/09/11 11:00 起,BX-26,BX-26 獨角刺心（$295）,https://lin.ee/6caWq7L,@438glrqv,https://line.me/R/ti/p/@438glrqv,
台東縣,Funbox 台東秀泰店,2026/09/11 11:00 起,BX-35,BX-35 隨機強化組 Vol.04（$295）,https://lin.ee/XKtD1Yq,@438glrqv,https://line.me/R/ti/p/@438glrqv,
台東縣,Funbox 台東秀泰店,2026/09/11 11:00 起,BX-45,BX-45 武士魂斬（$325）,https://lin.ee/WtdheaL,@438glrqv,https://line.me/R/ti/p/@438glrqv,
台東縣,Funbox 台東秀泰店,2026/09/11 11:00 起,UX-02,UX-02 惡魔戰錘（$395）,https://lin.ee/Wuspkty,@438glrqv,https://line.me/R/ti/p/@438glrqv,
台東縣,Funbox 台東秀泰店,2026/09/11 11:00 起,UX-11,UX-11 衝擊龍神豪華組（$550）,https://lin.ee/veDEjJZ,@438glrqv,https://line.me/R/ti/p/@438glrqv,
台東縣,Funbox 台東秀泰店,2026/09/11 11:00 起,UX-20,UX-20 榮耀武神LF（$595）,https://lin.ee/SBDPnLT,@438glrqv,https://line.me/R/ti/p/@438glrqv,
台東縣,Funbox 台東秀泰店,2026/09/11 11:00 起,UX-21,UX-21 惡魔冥界改造組（$895）,https://lin.ee/oPKlU9N,@438glrqv,https://line.me/R/ti/p/@438glrqv,
台東縣,Funbox 台東秀泰店,2026/09/11 11:00 起,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/PeKYB6U,@438glrqv,https://line.me/R/ti/p/@438glrqv,
台東縣,Funbox 台東秀泰店,2026/09/11 11:00 起,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/RfklsmP,@438glrqv,https://line.me/R/ti/p/@438glrqv,
台東縣,Funbox 台東秀泰店,2026/09/11 11:00 起,BXG-01,BXG-01 烈焰飛鳳（$350）,https://lin.ee/trgyUzn,@438glrqv,https://line.me/R/ti/p/@438glrqv,
台東縣,Funbox 台東秀泰店,2026/09/11 11:00 起,BXG-04,BXG-04 銀牙烈虎S（$350）,https://lin.ee/sepr9z2,@438glrqv,https://line.me/R/ti/p/@438glrqv,
澎湖縣,Funbox澎湖3號港店,2026/09/11 10:30~2026/09/12 21:30,BX-00,BX-00 暴風天馬3-70RA（$595）,https://lin.ee/uJHjHCb,@185ybuaz,https://line.me/ti/p/~@185ybuaz,
澎湖縣,Funbox澎湖3號港店,2026/09/11 10:30~2026/09/12 21:30,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/UOLUzqg,@185ybuaz,https://line.me/ti/p/~@185ybuaz,
澎湖縣,Funbox澎湖3號港店,2026/09/11 10:30~2026/09/12 21:30,BX-26,BX-26 獨角刺心（$295）,https://lin.ee/vW52UTm,@185ybuaz,https://line.me/ti/p/~@185ybuaz,
澎湖縣,Funbox澎湖3號港店,2026/09/11 10:30~2026/09/12 21:30,BX-33,BX-33 皓戰猛虎（$295）,https://lin.ee/WKJYGP4,@185ybuaz,https://line.me/ti/p/~@185ybuaz,
澎湖縣,Funbox澎湖3號港店,2026/09/11 10:30~2026/09/12 21:30,BX-45,BX-45 武士魂斬（$325）,https://lin.ee/UXZG8Jv,@185ybuaz,https://line.me/ti/p/~@185ybuaz,
澎湖縣,Funbox澎湖3號港店,2026/09/11 10:30~2026/09/12 21:30,UX-20,UX-20 榮耀武神LF（$595）,https://lin.ee/OrUwaIT,@185ybuaz,https://line.me/ti/p/~@185ybuaz,
澎湖縣,Funbox澎湖3號港店,2026/09/11 10:30~2026/09/12 21:30,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/N7vab0U,@185ybuaz,https://line.me/ti/p/~@185ybuaz,
澎湖縣,Funbox澎湖3號港店,2026/09/11 10:30~2026/09/12 21:30,BXG-01,BXG-01 烈焰飛鳳S（$350）,https://lin.ee/V8TRwUn,@185ybuaz,https://line.me/ti/p/~@185ybuaz,
澎湖縣,Funbox澎湖3號港店,2026/09/11 10:30~2026/09/12 21:30,BXG-04,BXG-04 銀牙烈虎S（$350）,https://lin.ee/T6Olfng,@185ybuaz,https://line.me/ti/p/~@185ybuaz,
